"DIRECTORIO","Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","K_01_A","K_01_B","K_01_C","K_01_D","K_02","K_03","K_04","K_05","K_06","K_07","K_08","K_09","K_09_VALOR","K_09_TEXTO","K_10_C","K_10_D","K_10_E","K_10_F","K_10_H","K_11","K_11_A","K_11_B","K_12_A","K_12_B","K_12_C","K_12_D","K_12_E","K_12_F","K_12_G","K_12_H","K_12_I","K_12_J","K_12_K","K_12_L","K_12_M","K_12_N","K_12_O","D_01","D_02","D_08","D_12_B","D_12_C","D2_05","D2_06","D2_07","D2_01","SEXO","EDAD","PARENTESCO"
29495,68001,3,1,1,3,NA,1,NA,NA,3,1,2,1,2,10000,2,1,3000,"TRES MIL PESOS",NA,1,NA,NA,NA,2,NA,NA,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,4,1,1,5,1,2,9,2,21,7
29507,68001,1,1,1,3,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,1,1,5,1,2,9,2,26,1
29879,68001,2,1,4,4,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,2,2,4,1,1,1,1,57,1
30069,68001,1,1,4,3,NA,1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,5,1,2,7,1,1,2,1,25,3
30651,68001,1,1,1,2,1,1,1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,1,1,4,1,1,9,1,20,3
30718,68001,2,1,3,4,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,2,2,6,1,1,9,1,59,3
30757,68001,1,1,2,2,NA,1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,1,1,4,1,1,9,1,42,1
30911,68001,2,1,2,3,1,1,1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,1,2,5,1,1,9,1,25,1
30974,68001,1,1,2,3,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,3,2,2,3,1,1,9,1,34,3
31759,68001,2,1,6,3,1,1,NA,NA,3,1,1,2,NA,NA,2,1,2000,"DOS MIL PESOS",NA,1,NA,1,NA,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,1,2,5,1,2,9,2,50,2
33394,68307,2,1,1,3,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,1,1,4,1,1,9,1,27,1
34040,68001,2,1,3,6,NA,1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,1,1,5,1,1,9,1,37,1
34253,68001,2,1,3,3,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,1,8,1,2,9,2,32,2
34745,68001,2,1,4,1,1,1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,2,2,6,1,2,9,2,26,1
35160,68001,2,1,2,1,1,1,NA,NA,3,1,4,1,10,20000,20,1,2000,"DOS MIL PESOS",1,NA,NA,NA,NA,2,NA,NA,2,2,2,2,1,2,2,2,1,1,2,1,2,2,2,1,1,4,1,1,5,1,1,9,1,27,1
35239,68001,1,1,4,4,NA,1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,5,1,1,7,1,1,9,1,22,3
36676,68307,3,1,2,1,NA,1,NA,NA,3,1,3,1,3,10000,4,1,2000,"DOS MIL PESOS",NA,1,NA,NA,NA,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,1,1,6,1,1,9,1,32,1
38691,68276,1,1,4,4,NA,1,NA,NA,3,1,3,2,NA,NA,1,1,5000,"CINCO MIL PESOS",NA,1,NA,NA,NA,2,NA,NA,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,3,2,2,4,1,2,9,2,19,5
39001,68001,1,1,3,4,NA,1,NA,NA,3,1,5,1,30,20000,10,1,2000,"DOS MIL PESOS",NA,1,NA,NA,NA,2,NA,NA,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,4,2,2,5,1,2,9,2,43,3
