"DIRECTORIO","K_02","K_03","Depmuni","ESTRATO","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
46967,3,1,76834,3,1,3,3,9,5,1,2,1,31,1
46967,3,1,76834,3,1,3,3,9,5,1,2,2,30,2
46967,3,1,76834,3,1,3,3,9,5,1,2,1,2,3
46967,3,1,76834,3,1,3,3,9,5,1,2,1,6,3
47039,3,2,76001,1,1,1,5,5,6,1,1,1,55,1
47041,2,1,76520,3,2,4,3,9,6,1,2,1,34,1
47041,2,1,76520,3,2,4,3,9,6,1,2,2,29,2
47041,2,1,76520,3,2,4,3,9,6,1,2,2,13,3
47577,3,2,76001,1,2,2,4,9,3,1,1,2,58,1
47577,3,2,76001,1,2,2,4,9,3,1,1,1,29,3
47577,3,2,76001,1,2,2,4,9,3,1,1,1,33,3
47859,3,2,76001,3,1,2,4,5,5,1,2,1,22,7
47859,3,2,76001,3,1,2,4,5,5,1,2,2,31,1
47859,3,2,76001,3,1,2,4,5,5,1,2,1,22,8
47859,3,2,76001,3,1,2,4,5,5,1,2,2,3,3
47945,3,2,76001,2,2,4,4,9,7,1,2,1,13,3
47945,3,2,76001,2,2,4,4,9,7,1,2,1,43,1
47945,3,2,76001,2,2,4,4,9,7,1,2,1,17,3
47945,3,2,76001,2,2,4,4,9,7,1,2,2,32,2
48080,2,2,76001,3,1,1,4,9,5,1,1,1,34,3
48080,2,2,76001,3,1,1,4,9,5,1,1,2,64,1
48094,3,2,76001,4,2,3,4,5,4,NA,NA,2,56,2
48094,3,2,76001,4,2,3,4,5,4,NA,NA,1,15,5
48094,3,2,76001,4,2,3,4,5,4,NA,NA,1,61,1
48105,3,2,76001,3,2,7,4,5,6,1,1,1,25,3
48105,3,2,76001,3,2,7,4,5,6,1,1,2,56,1
48105,3,2,76001,3,2,7,4,5,6,1,1,1,28,3
48127,3,2,76001,3,1,1,4,9,6,1,2,2,83,8
