"D2_01","D2_03","D2_04","D2_05","D2_05_A","D2_06","D2_07","DIRECTORIO"
9,1,4,5,511,1,1,626
9,6,0,6,612,1,2,628
9,6,0,7,700,1,2,629
9,6,0,5,513,NA,NA,630
9,2,3,5,511,1,1,631
9,2,1,5,511,1,2,632
9,3,2,5,510,1,2,633
9,6,0,7,705,1,1,634
9,2,0,5,511,1,2,635
9,2,0,7,705,1,2,636
9,4,3,3,305,1,2,637
5,5,1,6,602,1,1,638
9,6,0,5,510,NA,NA,640
5,2,2,5,511,1,2,641
9,6,5,3,304,1,2,642
9,6,0,6,606,1,2,643
9,5,0,6,602,1,2,644
9,1,0,7,705,1,1,645
9,1,1,5,511,1,2,646
9,2,2,6,602,1,2,647
9,2,2,5,511,1,1,648
9,3,2,3,305,1,2,649
9,3,4,3,302,1,2,650
9,5,0,5,511,1,1,651
9,2,0,5,511,1,1,652
9,3,2,5,511,1,2,653
9,6,0,5,511,1,1,654
9,6,0,5,510,NA,NA,655
9,6,0,4,407,NA,NA,657
9,6,0,6,602,1,1,658
9,6,0,6,606,1,1,659
9,2,3,6,603,1,2,660
9,3,0,7,710,1,1,661
9,6,0,5,510,1,2,662
9,3,2,4,409,1,2,663
9,6,0,5,511,1,2,664
9,6,0,7,710,1,2,665
9,6,0,6,606,1,1,666
5,2,2,5,511,1,2,668
5,2,2,6,602,1,1,669
5,3,2,5,511,1,1,670
5,2,7,5,510,1,1,671
9,2,2,3,305,1,1,672
5,6,2,4,409,1,2,673
9,5,2,7,705,1,2,674
9,2,3,5,511,1,2,675
9,2,1,5,511,1,1,676
9,6,0,7,706,1,1,677
9,6,1,5,511,1,1,678
9,3,3,5,511,1,2,679
9,3,2,6,606,1,2,680
9,3,4,7,705,1,2,681
9,6,0,5,511,1,1,682
9,5,1,6,606,1,2,683
1,2,6,5,511,1,2,685
9,3,2,6,603,1,1,686
9,2,2,6,602,1,2,687
9,6,0,5,511,NA,NA,688
9,2,1,5,511,1,2,689
9,5,3,4,409,1,2,690
9,3,2,6,602,1,2,691
9,3,1,6,600,1,1,692
9,6,0,6,603,1,1,694
9,6,0,5,511,1,2,695
9,3,3,7,710,1,2,696
9,5,4,4,408,1,2,697
9,1,0,6,600,1,1,698
9,2,0,3,305,1,1,699
9,4,1,5,513,1,2,700
9,6,0,4,409,NA,NA,701
9,6,0,7,705,1,1,702
9,6,0,5,511,1,1,703
9,2,4,5,511,1,1,704
9,1,0,3,305,1,1,705
9,1,2,3,300,1,2,706
9,3,2,3,300,1,2,707
9,6,0,5,511,1,1,708
9,6,0,6,601,1,2,709
9,3,2,5,511,1,2,710
9,3,4,3,304,1,1,712
9,2,2,1,100,1,2,713
9,5,2,7,701,1,2,715
9,2,2,5,511,1,2,716
9,2,1,7,705,1,2,717
9,6,0,7,704,1,1,720
9,3,2,7,705,1,1,721
9,3,0,3,305,1,1,722
9,2,0,7,705,1,1,723
9,6,0,7,703,1,1,724
9,2,2,5,511,1,2,725
9,2,1,6,606,1,2,726
9,3,4,4,409,1,1,727
9,5,2,5,511,1,2,728
9,2,0,7,705,1,1,729
9,6,0,4,409,NA,NA,730
9,6,0,5,511,1,2,731
5,1,2,4,409,1,2,732
9,6,0,7,703,1,2,733
9,6,0,4,409,NA,NA,734
9,3,3,4,409,1,2,735
9,2,0,3,305,1,1,736
9,6,0,6,602,1,2,737
9,6,0,7,704,1,1,738
9,2,1,6,603,1,2,740
9,3,2,5,511,1,2,741
9,1,1,6,603,1,1,742
5,5,1,4,408,1,2,743
9,4,1,6,604,1,2,744
9,4,7,3,302,1,2,745
9,3,2,4,408,1,2,746
9,6,2,5,511,1,1,748
9,6,0,3,304,1,1,749
1,6,1,5,511,1,2,750
1,6,0,4,409,NA,NA,751
9,6,1,4,407,1,1,752
9,2,1,8,801,1,1,753
9,5,2,5,511,1,2,754
9,3,2,3,305,1,2,755
9,6,3,5,511,1,2,756
9,6,0,6,601,1,1,757
9,6,4,5,511,1,1,758
9,6,0,8,801,1,2,759
9,3,1,7,704,1,1,760
9,3,1,6,601,1,1,761
5,2,3,3,305,1,1,762
9,2,2,6,602,1,2,763
9,6,3,4,408,1,2,765
9,3,0,3,301,1,1,766
9,6,0,4,407,NA,NA,767
9,5,2,3,305,1,1,768
9,6,5,5,511,1,2,769
9,2,2,6,602,1,2,770
9,5,4,3,301,1,2,771
9,5,2,5,512,1,1,772
9,2,0,5,511,1,2,773
9,3,0,6,602,1,1,774
9,5,1,5,511,1,2,775
9,6,0,4,407,NA,NA,776
9,4,2,7,710,1,2,777
1,6,0,3,305,1,1,778
9,3,2,6,603,1,1,779
5,2,1,1,100,1,1,780
9,2,4,3,305,1,2,781
9,2,2,5,510,1,2,782
9,4,1,7,705,1,2,783
5,2,1,5,511,1,2,785
5,6,0,7,704,1,1,786
5,5,4,1,100,1,2,787
9,5,2,3,305,1,2,788
9,2,2,3,305,1,1,789
9,2,2,5,511,1,1,790
9,3,3,5,510,1,1,791
5,5,4,5,510,1,1,792
9,6,0,4,409,NA,NA,793
9,2,2,4,406,1,2,794
9,3,2,5,511,1,2,795
9,6,1,5,510,NA,NA,796
1,6,0,7,705,1,1,797
9,5,2,3,305,1,2,798
9,6,0,6,611,1,2,799
9,3,2,7,710,1,2,800
9,4,3,5,511,1,2,801
9,6,0,5,511,1,2,802
9,6,2,3,305,1,2,803
9,6,1,5,511,1,1,804
3,5,1,6,604,1,2,805
9,6,0,7,703,1,2,806
9,5,3,5,511,1,2,807
9,3,4,6,602,1,1,808
5,6,0,6,601,1,2,809
5,2,0,6,602,1,2,810
9,6,0,5,511,3,2,811
5,2,0,6,601,1,1,812
9,2,0,6,602,1,2,813
9,1,1,6,602,1,2,814
9,3,1,3,305,1,2,815
1,6,0,7,703,1,2,817
9,6,1,7,703,1,1,818
9,6,0,8,802,1,1,819
9,5,3,5,511,1,2,820
9,6,4,4,406,1,2,821
9,6,0,7,705,1,1,822
9,6,3,3,305,1,2,823
9,2,4,3,305,1,2,824
1,6,0,5,511,1,2,825
9,2,2,5,511,1,2,826
9,2,2,6,602,1,1,827
9,6,1,6,602,1,2,828
9,2,3,5,511,1,1,829
9,6,0,6,602,1,2,830
9,2,1,7,705,1,2,831
5,6,0,5,511,1,2,832
9,3,1,4,409,1,2,833
9,2,2,4,408,1,2,834
9,3,4,7,701,1,1,835
9,3,3,5,510,1,1,836
9,3,4,3,305,1,1,837
1,6,1,6,602,1,2,838
5,6,6,3,302,1,1,839
5,2,3,6,602,1,2,840
9,6,1,5,511,1,2,841
9,1,1,6,602,1,1,842
1,6,1,7,705,1,2,843
1,6,0,8,802,1,2,844
5,6,0,5,511,1,1,846
9,3,1,4,406,1,1,847
9,6,1,6,603,1,1,848
5,5,3,7,710,1,2,849
9,6,0,7,705,1,2,851
5,6,1,4,406,1,1,852
5,3,1,7,705,1,2,853
9,6,1,7,705,1,2,854
1,2,1,5,511,1,2,855
9,6,1,6,601,1,2,856
9,6,1,6,602,1,2,857
9,2,1,6,603,1,2,858
9,3,1,8,801,1,2,859
5,2,1,6,601,1,1,860
5,6,1,6,602,1,1,862
5,6,0,5,510,1,1,863
5,6,0,7,703,1,2,864
9,5,1,5,510,1,1,865
5,6,0,3,303,1,1,866
9,6,2,3,305,1,1,867
9,1,0,6,603,1,2,868
5,1,0,7,704,1,2,869
9,6,0,4,406,NA,NA,872
9,4,3,3,305,1,1,873
5,6,1,7,705,1,2,874
9,5,1,5,511,1,2,877
9,6,0,6,602,1,2,878
1,1,2,5,511,1,2,879
9,2,2,5,510,1,2,880
9,3,3,7,705,1,2,881
9,2,2,6,602,1,1,882
9,6,0,4,400,NA,NA,883
9,4,2,4,408,1,2,884
9,4,2,3,303,1,2,885
1,3,3,6,602,1,2,886
9,6,0,3,305,NA,NA,888
9,2,0,4,409,1,1,889
9,1,0,7,705,1,2,890
5,3,2,6,602,1,1,891
9,3,2,3,305,1,1,892
9,2,2,4,409,1,2,893
9,1,3,5,511,1,2,895
9,6,0,7,704,1,1,896
5,2,2,5,511,1,2,897
9,6,0,7,705,1,1,898
9,2,1,5,511,1,2,899
9,5,3,5,511,1,2,901
5,6,0,5,510,NA,NA,902
9,6,0,7,705,1,2,903
9,3,0,7,705,1,1,904
5,2,2,5,511,1,2,905
9,5,2,4,407,1,2,906
9,2,1,5,511,1,2,907
9,5,3,4,400,1,2,908
9,6,0,7,704,1,2,909
5,5,0,5,511,1,1,910
9,6,0,4,409,NA,NA,911
5,6,0,5,511,1,1,912
9,3,1,6,601,1,2,913
9,3,3,3,305,1,1,914
1,3,2,7,705,1,2,915
5,6,0,5,510,NA,NA,916
9,3,3,8,802,1,2,917
9,5,2,8,801,1,2,918
9,1,0,5,510,1,1,920
9,5,2,6,602,1,2,921
5,2,1,4,409,1,1,923
5,6,0,5,511,1,1,924
9,5,4,3,304,1,1,925
9,5,0,7,705,1,1,926
5,3,0,5,511,1,1,927
9,2,1,7,705,1,1,928
9,3,0,6,602,1,1,929
5,3,2,7,705,1,1,930
9,6,0,4,409,NA,NA,931
9,6,0,4,406,NA,NA,933
9,2,1,7,701,1,2,934
5,6,1,5,511,1,2,935
9,1,1,6,602,1,1,936
9,6,0,4,409,1,1,937
9,2,2,4,407,1,1,938
9,5,3,3,303,1,2,939
1,1,4,4,408,1,2,940
9,1,4,3,303,1,2,941
9,2,3,6,602,1,2,942
9,1,3,6,603,1,2,943
9,3,0,6,601,1,2,945
5,6,1,7,705,1,2,946
