"DIRECTORIO","Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","SECUENCIA_ENCUESTA.x","SECUENCIA_P.x","ORDEN.x","ESTADO_ENCUESTA","RECO_DIC","N_01","N_02","N_03","N_04","N_05","N_06_A","N_06_B","N_06_C","N_07","N_08","N_09","N_09_TEXTO","N_10_A","N_10_B","N_10_C","N_10_D","N_10_E","N_10_F","N_10_G","N_10_H","N_10_I","SECUENCIA_ENCUESTA.y","SECUENCIA_P.y","ORDEN.y"
22093,"11001",2,1,3,5,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
22221,"94001",1,1,2,4,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3
22758,"05001",1,1,2,4,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
22790,"05001",2,1,3,3,1,1,1,NA,0,3,1,2,1,3,1,NA,NA,3,1,40000,"CUARENTA MIL  PESOS",NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,2
22932,"05001",2,1,2,5,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4
23229,"05001",2,1,3,2,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
23316,"05001",1,1,1,5,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4
23351,"94001",1,1,1,1,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
23432,"11001",2,1,2,3,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
23805,"68001",1,1,2,4,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3
23848,"68001",1,1,3,3,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3
24211,"63001",2,1,4,2,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
24337,"63001",1,1,2,1,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
24342,"47001",2,1,4,1,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
25173,"52001",2,1,3,1,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
25808,"91001",1,1,1,6,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
25876,"23466",2,1,2,3,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3
25942,"85001",2,1,3,1,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
26239,"05088",2,1,3,3,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
26250,"11001",2,1,2,3,1,1,1,NA,0,2,1,2,1,1,1,NA,NA,1,2,20000,"VEINTE MIL PESOS",NA,NA,1,NA,1,1,NA,NA,NA,2,1,2
26840,"52001",3,1,3,1,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
27872,"19001",1,1,3,6,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4
28254,"85001",2,1,3,1,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
28705,"52001",3,1,3,1,1,1,1,NA,0,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
28993,"66170",2,1,2,1,1,1,1,NA,0,3,1,1,2,NA,NA,NA,NA,NA,NA,15000,"QUINCE MIL PESOS",NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1
29254,"15001",2,1,4,1,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
29784,"11001",2,1,2,2,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
29974,"11001",1,1,3,3,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3
30448,"94001",2,1,2,1,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
30619,"11001",2,1,3,2,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
31098,"73001",2,1,3,3,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
31523,"76001",1,1,2,6,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,6
31649,"05001",2,1,3,2,1,1,1,NA,0,3,1,2,2,NA,NA,NA,NA,NA,NA,20000,"VIENTE MIL PESOS",NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,2
31888,"05266",1,1,2,4,1,1,1,NA,0,3,1,1,2,NA,NA,NA,NA,NA,NA,8000,"ES REGALADA",NA,NA,NA,1,NA,NA,NA,NA,NA,3,1,3
32028,"19001",3,1,1,1,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
32553,"11001",1,1,3,3,1,1,1,NA,0,1,1,2,1,1,1,NA,NA,1,2,30000,"TRENTAMIL PESOS",NA,NA,NA,1,NA,NA,NA,NA,NA,3,1,3
