"DIRECTORIO","Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","SECUENCIA_ENCUESTA.x","SECUENCIA_P.x","ORDEN.x","ESTADO_ENCUESTA","RECO_DIC","L_01","L_02","L_03","L_04","L_05","L_06","L_07","L_08","L_08_VALOR","L_08_TEXTO","L_09_A","L_09_B","L_09_C","L_09_D","L_09_E","L_09_F","L_09_G","L_09_H","L_09_I","L_10","L_10_A","L_10_B","L_11_A","L_11_B","L_11_C","L_11_D","L_11_E","L_11_F","L_11_G","L_11_H","L_11_I","L_11_J","L_11_K","L_11_L","L_11_M","L_11_N","L_11_O","SECUENCIA_ENCUESTA.y","SECUENCIA_P.y","ORDEN.y"
4993,"05001",1,1,2,1,1,1,1,NA,0,3,1,3,1,8,20000,"10",1,5000,"CINCO MIL",NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1
5094,"05001",1,1,2,4,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
5240,"66001",1,1,1,2,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
5310,"05001",2,1,2,4,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3
5394,"47189",1,1,1,1,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
5442,"05001",1,1,5,1,1,1,1,NA,0,3,1,2,2,NA,NA,"10",1,5000,"CINCO MIL",NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
5449,"95001",1,1,9,4,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
5453,"66001",2,1,2,3,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
5466,"05001",1,1,3,6,1,1,1,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,6
5473,"05212",2,1,2,5,1,1,1,NA,0,3,1,4,1,8,1e+05,"10",1,10000,"DIEZ MIL PESOS",NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,3,1,3
